code,hours,am_fraction,pm_fraction,sleepover_fraction,ph_fraction,night_fraction,duty_supervisor,time_range,category_zh
A230#,8,,1,,,,1,230-1030p,午更 (8小時)連DO崗位
A230s,8.5,,1,,,,,230-11p,午更 (8.5小時)
A2s,8.5,,1,,,,,2-1030p,午更 (8.5小時)
A2s#,8.5,,1,,,,1,2-1030p,午更 (8.5小時)
A3,8,,1,,,,,3-11p,"午更 (8小時)演唱會, TMIE春茗更"
A4,8,,1,,,,,4p-12a,"午更 (8小時)演唱會, TMIE春茗更"
A6,8,1,,,,,,6a-2p,早更 (8小時)
A610,8,1,,,,,,610a-210p,早更 (8小時)
A610s,8.5,1,,,,,,610a-240p,早更 (8.5小時)
A610x,8.1667,1,,,,,,0610-1420,早更 (8小時10分鐘)
A630,8,1,,,,,,630a-230p,早更 (8小時)
A630s,8.5,1,,,,,,630a-3p,早更 (8.5小時)
A7,8,1,,,,,,7a-3p,早更 (8小時)
A7#,8,1,,,,,1,7a-3p,早更 (8小時)連DO崗位
A730#,8,1,,,,,1,730a-330p,早更 (8小時)
A730,8,1,,,,,,730a-330p,早更 (8小時)
A730s,8.5,1,,,,,,730a-4p,早更 (8.5小時)
A745,8,1,,,,,,745a-345p,早更 (8小時)
A7N10,17,1,,,,1,,7a至3p+10p至翌日7a,混合更 (8+9小時更) (早更WA+N更用)
A7N1015,17,1,,,,1,,7a至3p+1015p至翌日715a,混合更 (8+9小時更) (早更WA+N更用)
A7P3,15,1,1,,,,,7a-3p+3-10p,境外遊回程更期(15小時)
A7s,8.5,1,,,,,,7a-330p,早更 (8.5小時)
A7x,8.1667,1,,,,,,7a-310p,早更 (8小時10分鐘)
A7xN10,17.1667,1,,,,1,,7a至310p+10p至翌日7a,混合更 (8.1667+9小時更) (早更WA+N更用)
A7xN1015,17.1667,1,,,,1,,7a至310p+1015p至翌日715a,混合更 (8.1667+9小時更) (早更WA+N更用)
A8,8,1,,,,,,8a-4p,早更 (8小時)
A815s,8.5,1,,,,,,815a-445p,早更 (8.5小時)
A830,8,1,,,,,,830a-430p,早更 (8小時)
A830s,8.5,1,,,,,,830a-5p,早更 (8.5小時)
A845,8,1,,,,,,845a-445p,早更 (8小時)
A8N10,17,1,,,,1,,8a至4p+10p至翌日7a,混合更 (8+9小時更)
A8s,8.5,1,,,,,,8a-430p,早更 (8.5小時)
A8x,8.1667,1,,,,,,0800-1610,早更 (8.小時10分)
A9,8,1,,,,,,9a-5p,早更 (8小時)
A915,8,1,,,,,,915a-515p,早更 (8小時)(主任會)
A930,8,1,,,,,,930a-530p,早更 (8小時)
A930s,8.5,1,,,,,,930a-6p,早更 (8.5小時)
A945s,8.5,1,,,,,,945a-615p,早更 (8.5小時)
A9s,8.5,1,,,,,,9a-530p,早更 (8.5小時)
A9x,8.1667,1,,,,,,0900-1710,早更 (8小時10分鐘)
A11x,8.1667,,1,,,,,11a-710p,午更 (8小時10分鐘)
AL,8,,,,,,,年假1日(計8小時),每週44小時計
"AL,",9,,,,,,,年假1日(計9小時),每週44小時計
ALx,8.1667,,,,,,,年假1日(計8小時10分鐘),每週49小時計
AL1/2,4,,,,,,,年假半日(計4小時),每週44小時計
AL1/2v,4.08335,,,,,,,年假半日(計4小時05分鐘),每週49小時計
AL1/2+CL-4,8,,,,,,,年假半日+補假半日(計8小時),每週44小時計
AL1/2+PH1/2,4,,,,0.5,,,年假半日+星期六PH半日(計4小時),每週44小時計
B10,9,1,,,,,,10a-7p,早更 (9小時)
B1030,9,1,,,,,,1030a-730p,早更 (9小時)
B10s,9.5,1,,,,,,10a-730p,早更 (9.5小時)
B11,9,,1,,,,,11a-8p,午更 (9小時)
B12,9,,1,,,,,12p-9p,早更 (9小時)
B12,9,,1,,,,,12-9p,P更 (9小時)
B1230,9,,1,,,,,1230p-930p,早更 (9小時)
B130,9,,1,,,,,130-1030p,午更 (9小時)
B130#,9,,1,,,,1,130-1030p,午更 (9小時)
B2,9,,1,,,,,2-11p,午更 (9小時)
B610,9,1,,,,,,610a-310p,早更 (9小時)
B7,9,1,,,,,,7a-4p,早更 (9小時)
B7#,9,1,,,,,1,7a-4p,早更 (9小時) (連DO崗位)
B7N,18,1,,,,1,,7a至4p+1015p至715a,混合更 (9+9小時更) (早更WA代N更用)
B7s,9.5,1,,,,,,7a-430p,早更 (9.5小時)
B7x,9.1667,1,,,,,,7a-410p,早更 (9小時10分鐘)
B730,9,1,,,,,,730a-430p,早更 (9小時)
B8,9,1,,,,,,8a-5p,早更 (9小時)
B830,9,1,,,,,,830a-530p,早更 (9小時)
B8x,9.1667,1,,,,,,8a-510p,早更 (9小時10分鐘)
B9,9,1,,,,,,9a-6p,早更 (9小時)
B930,9,1,,,,,,930a-630p,早更 (9小時)
B930s,9.5,1,,,,,,930a-7p,早更 (9.5小時)
B9x,9.1667,1,,,,,,9a-610p,早更 (9小時10分鐘)
B9s,9.5,1,,,,,,9a-630p,早更 (9.5小時)
BDL,8,,,,,,,生日假一天,每週44小時計
"BDL,",9,,,,,,,生日假一天,"每週44小時計,5天工作"
BDLx,8.1667,,,,,,,生日假一天,每週49小時計
C,3,,,1,,,,"留宿更 10p-7a (計3小時) 
工作時間:10p-1030p, 630a-7a",留宿候命更 (留宿更3小時)
CL-4,4,,,,,,,補假 4小時,CL補假
CL-4.25,4.25,,,,,,,補假 全日4.25小時,每週25.5小時計
CL-6,6,,,,,,,補假全日6小時,特別全日補假
CL-7,7,,,,,,,補假全日 7小時,特別全日補假
CL-7.5,7.5,,,,,,,補假全日 7.5小時,特別全日補假
CL-8,8,,,,,,,補假全日 8小時,每週44小時計
CL-8.5,8.5,,,,,,,補假全日 8.5小時,每週51小時計
CL-9,9,,,,,,,補假全日 9小時,每週54小時計
F1,6,,1,,,,,1-7p,午更 (6小時更)
F2,6,,1,,,,,1-8p,午更 (6小時更)
F10,6,1,,,,,,10a-4p,早更 (6小時)
F11,6,1,,,,,,11a-5p,早更 (6小時)
F12,6,1,,,,,,12-6p,早更 (6小時)
F130,6,,1,,,,,130-730p,午更 (6小時)
F130s,6.5,,1,,,,,130-8p,午更 (6.5小時)
F3,6,,1,,,,,3-9p,午更 (6小時更)
F7,6,1,,,,,,7a-1p,早更 (6小時)
F7#,6,1,,,,,1,7a-1p,早更 (6小時) (連DO崗位)
F7N10,15,1,,,,1,,7a-1p+10p-7a(翌日),早更+通宵更
F7N1015,15,1,,,,1,,7a-1p+1015p-715a(翌日),早更+通宵更
F7s,6.5,1,,,,,,7a-130p,早更 (6.5小時)
F8,6,1,,,,,,8a-2p,早更 (6小時)
F8s,6.5,1,,,,,,8a-230p,早更 (6.5小時)
F9,6,1,,,,,,9a-3p,早更 (6小時)
F9s,6.5,1,,,,,,9a-330p,早更 (6.5小時)
FFL,8,,,,,,,家庭友善假(計8小時),每週44小時計
"FFL,",9,,,,,,,家庭友善假(計9小時),每週44小時計(5天工作計)
FFLx,8.1667,,,,,,,家庭友善假(計8.1667小時),每週49小時計
FUNL,8,,,,,,,喪假(計8小時),每週44小時計
FUNLx,8.1667,,,,,,,喪假(計8小時10分鐘),每週49小時計
FUNL_,4,,,,,,,喪假連星期六(計4小時),每週44小時計
FUNL..,0,,,,,,,喪假(計0小時),連休假日之喪假
G1,7,,1,,,,,1-8p,午更 (7小時更)
G10,7,1,,,,,,10a-5p,早更 (7小時更)
G1030,7,1,,,,,,1030a-530p,早更 (7小時更)
G10N10,16,1,,,,1,,10a-5p+10p-7a,早更+通宵更
G10s,7.5,1,,,,,,10a-530p,早更 (7.5小時更)
G11,7,1,,,,,,11a-6p,早更 (7小時更)
G1130,7,1,,,,,,1130a-630p,早更 (7小時更)
G12,7,,1,,,,,12p-7p,午更 (7小時更)
G1230,7,,1,,,,,1230p-730p,午更 (7小時更)
G130,7,,1,,,,,130p-830p,午更 (7小時更)
G130s,7.5,,1,,,,,130p-9p,午更 (7.5小時更)
G1s,7.5,,1,,,,,1-830p,午更 (7.5小時更)
G2,7,,1,,,,,2p-9p,午更 (7小時更)
G230,7,,1,,,,,230p-930p,午更 (7小時更)
G2s,7.5,,1,,,,,2p-930p,午更 (7.5小時更)
G610s,7.5,1,,,,,,610a-140p,早更 (7.5小時更)
G7,7,1,,,,,,7a-2p,早更 (7小時更)
G7#,7,1,,,,,1,7a-2p,早更 (7小時更) (連DO崗位)
G7N10,16,1,,,,1,,7a-2p+10p-7a(翌日),早更+通宵更
G7N1015,16,1,,,,1,,7a-2p+1015p-715a(翌日),早更+通宵更
G7sN1015,16.5,1,,,,1,,7a-2p+1015p-715a(翌日),早更+通宵更
G7s,7.5,1,,,,,,7a-230p,早更 (7.5小時更)
G7sN10,16.5,1,,,,1,,7a-230p+10p-7a(翌日),早更+通宵更
G7x,7.1667,1,,,,,,7a-210p,早更 (7小時10分鐘)
G7xN10,16.1667,1,,,,1,,0700-1410+10p-7a(翌日),早更+通宵更
G7xN1015,16.1667,1,,,,1,,0700-1410+1015p-715a(翌日),早更+通宵更
G730,7,1,,,,,,730a-230p,早更 (7小時更)
G8,7,1,,,,,,8a-3p,早更 (7小時更)
G930,7,1,,,,,,930a-430p,上課更期
G930s,7.5,1,,,,,,930a-5p,上課更期
G9,7,1,,,,,,9a-4p,早更 (7小時更)
G9N1015,16,1,,,,1,,9a-4p+1015p-715a翌日),早更+通宵更
G9s,7.5,1,,,,,,9a-430p,早更 (7.5小時更)
IACL,8,,,,,,,工傷假一日(計8小時),每週44小時計
IACL..,0,,,,,,,連星期日之工傷假(計 0小時),休假日 (連工傷假)
IACL:,4,,,,,,,連星期六之工傷假(計4小時),每週44小時計
IACLx,8.1667,,,,,,,工傷假一日(計8小時10分鐘),每週49小時計
K10,10,,,,,1,,10p-8a,N更 (10小時)
K1230,10,0.5,0.5,,,,,1230-2230,半早更+半午更 (10小時)
K7,10,1,,,,,,7a-5p,旱更 (10小時)
K7#,10,1,,,,,1,7a-5p,旱更 (10小時)(連DO崗位)
K7s,10.5,1,,,,,,7a-530p,旱更 (10.5小時)
K730,10,1,,,,,,730a-530p,早更 (10小時)
K745,10,1,,,,,,745a-545p,早更 (10小時)
K8,10,1,,,,,,8a-6p,早更 (10小時)
K830,10,1,,,,,,830a-630p,
K9,10,1,,,,,,9a-7p,早更 (10小時)
K930,10,1,,,,,,930a-730p,早更 (10小時)
K10s,10.5,,,,,1,,10P-830A,N更 (10.5小時)
MARL,8,,,,,,,婚假一日(計8小時),每週44小時計
MARLx,8.1667,,,,,,,婚假一日(計8小時10分鐘),每週49小時計
"MARL,",9,,,,,,,婚假一日(計9小時),每週44小時計
MARL_,4,,,,,,,連星期六之婚假(計4小時),每週44小時計
MARL..,0,,,,,,,連星期日之婚假(計0小時),休假日 (連婚假)
ML,8,,,,,,,產假一日(計8小時),每週44小時計
ML..,0,,,,,,,連星期日之產假(計0小時),休假日 (連產假)
ML_,4,,,,,,,連星期六之產假(計4小時),每週44小時計
MLx,8.1667,,,,,,,產假一日(計8小時10分鐘),每週49小時計
N10,9,,,,,1,,10p-7a,N更 (9小時)
N10x,9.1667,,,,,1,,10p-710a,N更 (9小時10分鐘)
N10s,9.5,,,,,1,,10p-730a,N更 (9小時30分鐘)
N1015,9,,,,,1,,1015p-715a,N更 (9小時)
N1030,8.5,,,,,1,,1030p-7a,N更 (8.5小時)
NO,0,,,,,,,夜更後休班日 (紅字為休息日),休假日 (N更後0小時)
NPL,8,,,,,,,無薪假期,44小時更期用
NPL..,0,,,,,,,無薪假期(休班日),休班日用(0小時)
NPL_,4,,,,,,,無薪假期,44小時更期用-星期六用
NPLx,8.1667,,,,,,,無薪假期,49小時更期用
NPSL,8,,,,,,,無薪病假,44小時更期用
NPSL..,0,,,,,,,無薪病假(休班日),休班日用(0小時)
NPSL_,4,,,,,,,無薪病假,44小時更期用-星期六用
NPSLx,8.1667,,,,,,,無薪病假,49小時更期用
O,0,,,,,,,休班日 (紅字為休息日),休假日 (0小時)
"O,",0,,,,,,,休班日(非休息日),休班日 (0小時)
P1,9,,1,,,,,1-10p,午更 (晚上10時下班)
P110,8.833333333333334,,1,,,,,1:10-10p (8小時50分),午更 (晚上10時下班)
P1#,9,,1,,,,1,P1更(9小時),午更 (晚上10時下班)
P12,10,,1,,,,,12-10p,午更 (晚上10時下班)
P130,8.5,,1,,,,,130-10p,午更 (晚上10時下班)
P130C,11.5,,1,1,,,,P130更(8.5小時)+C(留宿)更(3小時),PC更 (留宿候命更)
P140,8.3333,,1,,,,,1340-2200 (8小時20分鐘),午更 (晚上10時下班)
P150,8.1667,,1,,,,,1350-2200 (8小時10分鐘),午更 (晚上10時下班)
P1C,12,,1,1,,,,P1更(9小時)+C(留宿)更(3小時),PC更 (留宿候命更)
P1C#,12,,1,1,,,1,P1更(9小時)+C(留宿)更(3小時),PC更 (留宿候命更) (連DO崗位)
P1N10,18,,1,,,1,,P1更(9小時)+N10(通宵更)更(9小時),午更加通宵更
P2,8,,1,,,,,2-10p,午更 (晚上10時下班)
P2x,8.1667,,1,,,,,2-1010p,午更 (晚上10時10分下班)
P2#,8,,1,,,,1,P2更(8小時),午更 (晚上10時下班)
P230,7.5,,1,,,,,230-10p,午更 (晚上10時下班)
P2C,11,,1,1,,,,P2更(8小時)+C(留宿)更(3小時),PC更 (留宿候命更)
P2C#,11,,1,1,,,1,P2更(8小時)+C(留宿)更(3小時),PC更 (留宿候命更) (連DO崗位)
P2N10,17,,1,,,1,,P2更(8小時)+N10(通宵更)更(9小時),午更加通宵更
P3,7,,1,,,,,3-10p,午更 (晚上10時下班)
P3C,10,,,1,,,,P3更(7小時)+C(留宿)更(3小時),PC更 (留宿候命更)
P3C#,10,,,1,,,1,P3更(7小時)+C(留宿)更(3小時),PC更 (留宿候命更) (連DO崗位)
P4,6,,1,,,,,4-10p,午更 (晚上10時下班)
P4C,9,,1,1,,,,P4更(6小時)+C(留宿)更(3小時),PC更 (留宿候命更)
P5,5,,0.5,,,,,5-10p,午更 (晚上10時下班)
P530,4.5,,,,,,,530-10p,午更 (晚上10時下班)
P545,4.25,,0.5,,,,,545-10p,午更半日 (4.25小時)
P6,4,,0.5,,,,,6-10p,午更 (晚上10時下班)
P7,3,,0.5,,,,,7-10p,午更 (晚上10時下班)
PH,0,,,,1,,,公眾假期休假日,休假日 (PH假)
PL,8,,,,,,,陪產假一日(計8小時),每週44小時計
PLx,8.1667,,,,,,,陪產假假一日(計8小時10分鐘),每週49小時計
PL_,4,,,,,,,連星期六之陪產假(計4小時),每週44小時計
PL..,0,,,,,,,連星期日之陪產假(計0小時),休假日 (連陪產假假)
S1,4,,0.5,,,,,1-5p,午更半日 (4小時)
S10,4,0.5,,,,,,10a-2p,早更半日 (4小時)
S1830,4,,0.5,,,,,6:30-10:30p,實習生更期
S1N10,13,,0.5,,,1,,1-5p+10p至翌日7a,午更半日+通宵更 (4+9小時)
S2,4,,0.5,,,,,2-6p,午更半日 (4小時)
S230,4,,0.5,,,,,230-630p,午更半日 (4小時)
S4,4,,0.5,,,,,4-8p,午更半日 (4小時)
S4:,4.25,,0.5,,,,,4-815p,午更半日 (4.25小時)
S515:,4.25,,0.5,,,,,5:15-930p,午更半日 (4.25小時)
S530:,4.25,,0.5,,,,,5:30-945p,午更半日 (4.25小時)
S5s,4.5,,0.5,,,,,5p-930p,午更半日 (4.5小時)
S7,4,0.5,,,,,,7-11a,早更半日 (4小時)
S8,4,0.5,,,,,,8a-12p,早更半日 (4小時)
S815:,4.25,0.5,,,,,,815a-1230p,早更 (4.25小時)
S9,4,0.5,,,,,,9a-1p,早更半日 (4小時)
S9:,4.25,0.5,,,,,,9a-115p,早更半日 (4.25小時)
S930,4,0.5,,,,,,930a-130p,早更半日 (4小時)
S9A1,12,0.5,1,,,,,9a-9p,實習生更期
S9P1,13,0.5,1,,,,,9a-10p,實習生更期
SL,8,,,,,,,病假1日(計8小時),每週44小時計
SL.+AL1/2.,8.5,,,,,,,病假半日4.25小時+年假半日4.25小時,病假+年假
SL.+CL.,8.5,,,,,,,病假半日(4.25小時)+補假 4.25小時,病假+CL補假
SLx,8.1667,,,,,,,病假1日(計8小時10分鐘),每週49小時計
SL+AL1/2,8,,,,,,,病假半日+年假半日4小時,病假+年假
SL+CL,8,,,,,,,病假半日+補假 4小時,病假+CL補假
SL1/2,4,,,,,,,病假半日(計4小時),每週44小時計
SL1/2v,4.08335,,,,,,,病假半日(計4小時05分鐘),每週49小時計
SPL,8,,,,,,,法定侍產假一日(計8小時),每週44小時計
SPL..,0,,,,,,,連星期日之法定侍產假(計0小時),休假日 (連侍產假假)
SPL_,4,,,,,,,連星期六之法定侍產假(計4小時),每週44小時計
SPLx,8.1667,,,,,,,法定侍產假一日(計8小時10分鐘),每週49小時計
VAC19,8,,,,,,,疫苗假期(計8小時),每週44小時計
VAC19x,8.1667,,,,,,,疫苗假期(計8小時10分鐘),每週49小時計
